,Title,Published_date,Views,Likes,Dislikes,Comments,Month
117,हर रोज़ आप गलत तरीके से सोते हो | WHICH IS RIGHT SLEEPING POSITION FOR YOUR GOOD HEALTH,12-12-2021,5815599,141658,0,1313,Dec
118,Best Financial Advice For Young People | The Psychology of Money Book Summary in Hindi Morgan Housel,09-12-2021,1574356,53029,0,564,Dec
119,खुद को होशियार समझने वाले मूर्ख क्यों होते हैं? Dunning-Kruger Effect in Hindi | Psychology Facts,05-12-2021,109586,6827,0,189,Dec
120,ये सीख गए तो कोई आप को धोखा नहीं दे सकेगा | Slothful Induction Fallacy in Hindi | Psychology Facts,03-12-2021,110882,6628,0,120,Dec
121,इससे अच्छी बात मैंने आज तक नहीं सुनी | Best Advice I've Ever Heard by Simon Sinek | Yebook,28-11-2021,128563,8001,0,412,Nov
122,Survivorship Bias आप को चालाकी से जीना सिखा देगा | Psychology Facts and Logical Fallacies | Yebook,24-11-2021,215414,15379,0,443,Nov
123,"9 ""Shocking"" Psychology Facts That Will Make Your Life Easy That They Don't Teach You In School",07-11-2021,230637,15143,0,268,Nov
124,"10 ""Shocking"" Psychological Tricks To Know The Real Faces Of People | Psychology In Hindi | yebook",31-10-2021,243756,13528,0,327,Oct
125,Managing Your Money Like the Rich! | अपना पैसा अमीरों की तरह मैनेज करना सीखो | Yebook,10-10-2021,545057,22436,0,416,Oct
126,The Power Of Silence - 8 Reasons Silent People Are Successful,21-09-2021,177213,12645,0,581,Sep
127,The Ultimate 14 Rules of Success | Best Motivational Video,12-09-2021,482593,25542,0,453,Sep
128,अपने दिमाग से मुश्किल काम करवाना सीखो | Trick Your Brain to Like Doing Hard Things | ATOMIC HABITS,06-09-2021,1931527,105218,0,877,Sep
129,हर कामयाब इंसान करता है ये | THE NO 1 HABIT OF RICH AND SUCCESSFUL PEOPLE | RICH VS POOR | YEBOOK,30-08-2021,128513,8012,0,346,Aug
130,दुनिया के सबसे बड़े GENIUS की तरह सोचना सीखो | HOW TO THINK LIKE A GENIUS? LEONARDO DA VINCI BY WALTE,22-08-2021,157012,10400,0,301,Aug
131,300 किताबें पढ़ कर मैंने क्या सीखा? WHAT I LEARNED AFTER READING 300 BOOKS THAT CHANGED MY LIFE,16-08-2021,506212,27544,0,579,Aug
132,पैसों की चालाकियाँ सीखो! COMPLETE FINANCIAL EDUCATION IN HINDI | HOW TO BE FINANCIALLY INDEPENDENT,08-08-2021,352714,18173,0,295,Aug
133,व्यापार की 7 चालाकियाँ | Influence - The Art of Persuasion by Robert Cialdini | Marketing Secrets,01-08-2021,506633,23699,0,305,Aug
134,ये सीख गए तो किसी से नहीं डरोगे! HOW TO FIGHT FROM FEARS AND DOUBTS? LEARN TO FIGHT FROM FEARS,25-07-2021,337134,19869,0,461,Jul
